subregion,Time,Ag. Area (AC),Potential CUAW,Ag. Supply Requirement,Ag. Pumping,Ag. Diversion,Ag. Shortage,Ag. Re-use,Urban Area (AC),Urban Supply Requirement,Urban Pumping,Urban Diversion,Urban Shortage,Urban Re-use,Import,Export
14,09/30/1965 12:00 AM,442081.09,12519.51,14172.05,11712.18,2460.02,-0.15,0.00,5232.01,1000.01,1000.01,0.00,0.00,0.00,2460.02,0.00
14,10/31/1965 12:00 AM,446512.08,38923.46,44911.00,42861.70,2050.01,-0.71,0.00,5276.05,800.01,800.01,0.00,0.00,0.00,2050.01,0.00
14,11/30/1965 12:00 AM,446512.08,0.00,0.00,0.00,656.00,-656.00,0.00,5276.05,500.00,500.00,0.00,0.00,0.00,656.00,0.00
14,12/31/1965 12:00 AM,446512.08,0.00,0.00,0.00,164.00,-164.00,0.00,5276.05,500.00,500.00,0.00,0.00,0.00,164.00,0.00
14,01/31/1966 12:00 AM,446512.08,0.00,0.00,0.00,0.00,0.00,0.00,5276.05,500.00,500.00,0.00,0.00,0.00,0.00,0.00
14,02/28/1966 12:00 AM,446512.08,0.00,0.00,0.00,492.00,-492.00,0.00,5276.05,500.00,500.00,0.00,0.00,0.00,492.00,0.00
14,03/31/1966 12:00 AM,446512.08,60249.34,69954.94,67414.47,2542.02,-1.54,0.00,5276.05,900.01,900.01,0.00,0.00,0.00,2542.02,0.00
14,04/30/1966 12:00 AM,446512.08,51745.56,59648.08,57025.29,2624.02,-1.24,0.00,5276.05,1100.01,1100.01,0.00,0.00,0.00,2624.02,0.00
14,05/31/1966 12:00 AM,446512.08,123496.83,140202.79,137222.85,3034.02,-54.08,0.00,5276.05,1200.01,1200.01,0.00,0.00,0.00,3034.02,0.00
14,06/30/1966 12:00 AM,446512.08,226944.64,265614.34,262096.61,3526.02,-8.29,3110.28,5276.05,1300.01,1300.01,0.00,0.00,0.00,3526.02,0.00
14,07/31/1966 12:00 AM,446512.08,222178.06,264597.01,260664.60,3936.03,-3.62,3229.02,5276.05,1300.01,1300.01,0.00,0.00,0.00,3936.03,0.00
14,08/31/1966 12:00 AM,446512.08,180275.14,215724.86,212037.77,3690.03,-2.93,2092.75,5276.05,1200.01,1200.01,0.00,0.00,0.00,3690.03,0.00
14,09/30/1966 12:00 AM,446512.08,10508.50,11903.17,9935.37,1968.01,-0.21,0.00,5276.05,1000.01,1000.01,0.00,0.00,0.00,1968.01,0.00
14,10/31/1966 12:00 AM,450917.15,43524.87,50297.36,48658.14,1640.01,-0.79,0.00,5319.01,800.01,800.01,0.00,0.00,0.00,1640.01,0.00
14,11/30/1966 12:00 AM,450917.15,10189.76,12755.47,12182.28,574.00,-0.82,0.00,5319.01,500.00,500.00,0.00,0.00,0.00,574.00,0.00
14,12/31/1966 12:00 AM,450917.15,0.00,0.00,0.00,82.00,-82.00,0.00,5319.01,500.00,500.00,0.00,0.00,0.00,82.00,0.00
14,01/31/1967 12:00 AM,450917.15,0.00,0.00,0.00,82.00,-82.00,0.00,5319.01,500.00,500.00,0.00,0.00,0.00,82.00,0.00
14,02/28/1967 12:00 AM,450917.15,0.00,0.00,0.00,492.00,-492.00,0.00,5319.01,500.00,500.00,0.00,0.00,0.00,492.00,0.00
14,03/31/1967 12:00 AM,450917.15,50205.66,58323.80,56931.29,1394.01,-1.50,0.00,5319.01,700.00,700.00,0.00,0.00,0.00,1394.01,0.00
14,04/30/1967 12:00 AM,450917.15,0.00,0.00,0.00,492.00,-492.00,0.00,5319.01,800.01,800.01,0.00,0.00,0.00,492.00,0.00
14,05/31/1967 12:00 AM,450917.15,120977.89,137436.55,135143.94,2296.02,-3.40,0.00,5319.01,1200.01,1200.01,0.00,0.00,0.00,2296.02,0.00
14,06/30/1967 12:00 AM,450917.15,226827.74,265548.71,262768.02,2788.02,-7.33,2652.14,5319.01,1300.01,1300.01,0.00,0.00,0.00,2788.02,0.00
14,07/31/1967 12:00 AM,450917.15,234458.28,279259.36,276557.11,2706.02,-3.78,3503.34,5319.01,1300.01,1300.01,0.00,0.00,0.00,2706.02,0.00
14,08/31/1967 12:00 AM,450917.15,181652.64,217398.19,215023.19,2378.02,-3.01,2105.33,5319.01,1200.01,1200.01,0.00,0.00,0.00,2378.02,0.00
14,09/30/1967 12:00 AM,450917.15,8929.28,10120.69,8562.86,1558.01,-0.18,0.00,5319.01,1000.01,1000.01,0.00,0.00,0.00,1558.01,0.00
14,10/31/1967 12:00 AM,455352.15,42856.95,49599.12,48615.94,984.01,-0.82,0.00,5363.06,800.01,800.01,0.00,0.00,0.00,984.01,0.00
14,11/30/1967 12:00 AM,455352.15,0.00,0.00,0.00,585.00,-585.00,0.00,5363.06,500.00,500.00,0.00,0.00,0.00,585.00,0.00
14,12/31/1967 12:00 AM,455352.15,0.00,0.00,0.00,1012.01,-1012.01,0.00,5363.06,500.00,500.00,0.00,0.00,0.00,1012.01,0.00
14,01/31/1968 12:00 AM,455352.15,25509.89,28081.45,26512.48,1570.01,-1.04,0.00,5363.06,500.00,500.00,0.00,0.00,0.00,1570.01,0.00
14,02/29/1968 12:00 AM,455352.15,12717.27,14022.75,10364.87,3659.03,-1.15,0.00,5363.06,500.00,500.00,0.00,0.00,0.00,3659.03,0.00
14,03/31/1968 12:00 AM,455352.15,72545.97,84319.88,76194.23,8128.06,-2.41,0.00,5363.06,900.01,900.01,0.00,0.00,0.00,8128.06,0.00
14,04/30/1968 12:00 AM,455352.15,38072.28,43941.51,30323.61,13620.09,-2.19,0.00,5363.06,1100.01,1100.01,0.00,0.00,0.00,13620.09,0.00
14,05/31/1968 12:00 AM,455352.15,135884.95,154474.08,135951.64,18527.13,-4.69,0.00,5363.06,1200.01,1200.01,0.00,0.00,0.00,18527.13,0.00
14,06/30/1968 12:00 AM,455352.15,230659.83,270106.68,246457.01,23658.16,-8.49,2454.77,5363.06,1300.01,1300.01,0.00,0.00,0.00,23658.16,0.00
14,07/31/1968 12:00 AM,455352.15,236358.61,281560.88,250439.13,31125.22,-3.46,3557.21,5363.06,1300.01,1300.01,0.00,0.00,0.00,31125.22,0.00
14,08/31/1968 12:00 AM,455352.15,180885.43,216505.12,191558.53,24949.17,-2.58,2060.92,5363.06,1200.01,1200.01,0.00,0.00,0.00,24949.17,0.00
14,09/30/1968 12:00 AM,455352.15,13022.76,14769.39,0.00,15278.11,-508.71,0.00,5363.06,1000.01,1000.01,0.00,0.00,0.00,15278.11,0.00
14,10/31/1968 12:00 AM,459328.16,11519.33,13347.25,0.00,17658.12,-4310.87,0.00,5406.09,700.00,700.00,0.00,0.00,0.00,17658.12,0.00
14,11/30/1968 12:00 AM,459328.16,3532.45,4426.10,0.00,11291.08,-6864.97,0.00,5406.09,500.00,500.00,0.00,0.00,0.00,11291.08,0.00
14,12/31/1968 12:00 AM,459328.16,0.00,0.00,0.00,10777.07,-10777.07,0.00,5406.09,500.00,500.00,0.00,0.00,0.00,10777.07,0.00
14,01/31/1969 12:00 AM,459328.16,0.00,0.00,0.00,11904.08,-11904.08,2078.01,5406.09,500.00,500.00,0.00,0.00,0.00,11904.08,0.00
14,02/28/1969 12:00 AM,459328.16,0.00,0.00,0.00,5673.04,-5673.04,1188.31,5406.09,500.00,500.00,0.00,0.00,0.00,5673.04,0.00
14,03/31/1969 12:00 AM,459328.16,1600.39,1860.84,0.00,2872.02,-1011.18,0.00,5406.09,700.00,700.00,0.00,0.00,0.00,2872.02,0.00
14,04/30/1969 12:00 AM,459328.16,20289.13,23426.79,7381.85,16045.11,-0.17,0.00,5406.09,1000.01,1000.01,0.00,0.00,0.00,16045.11,0.00
14,05/31/1969 12:00 AM,459328.16,143385.38,163077.47,135163.24,27916.19,-1.96,0.00,5406.09,1200.01,1200.01,0.00,0.00,0.00,27916.19,0.00
14,06/30/1969 12:00 AM,459328.16,219531.07,257119.71,221396.43,35728.25,-4.97,3246.06,5406.09,1300.01,1300.01,0.00,0.00,0.00,35728.25,0.00
14,07/31/1969 12:00 AM,459328.16,236150.59,281337.09,239857.16,41483.29,-3.36,3530.31,5406.09,1300.01,1300.01,0.00,0.00,0.00,41483.29,0.00
14,08/31/1969 12:00 AM,459328.16,184287.43,220593.49,185611.78,34984.24,-2.53,2128.47,5406.09,1200.01,1200.01,0.00,0.00,0.00,34984.24,0.00
14,09/30/1969 12:00 AM,459328.16,6802.41,7718.52,0.00,15569.11,-7850.59,0.00,5406.09,1000.01,1000.01,0.00,0.00,0.00,15569.11,0.00
14,10/31/1969 12:00 AM,463837.26,34152.04,39627.05,24501.27,15126.10,-0.32,0.00,5450.00,900.01,900.01,0.00,0.00,0.00,15126.10,0.00
14,11/30/1969 12:00 AM,463837.26,18074.14,22656.90,6765.05,15892.11,-0.26,0.00,5450.00,600.00,600.00,0.00,0.00,0.00,15892.11,0.00
14,12/31/1969 12:00 AM,463837.26,0.00,0.00,0.00,18321.13,-18321.13,0.00,5450.00,600.00,600.00,0.00,0.00,0.00,18321.13,0.00
14,01/31/1970 12:00 AM,463837.26,8852.71,9756.84,0.00,21483.15,-11726.31,0.00,5450.00,600.00,600.00,0.00,0.00,0.00,21483.15,0.00
14,02/28/1970 12:00 AM,463837.26,0.00,0.00,0.00,25241.17,-25241.17,0.00,5450.00,500.00,500.00,0.00,0.00,0.00,25241.17,0.00
14,03/31/1970 12:00 AM,463837.26,56084.53,65244.99,40825.38,24420.17,-0.56,0.00,5450.00,900.01,900.01,0.00,0.00,0.00,24420.17,0.00
14,04/30/1970 12:00 AM,463837.26,49610.73,57316.67,14734.60,42582.29,-0.23,0.00,5450.00,1100.01,1100.01,0.00,0.00,0.00,42582.29,0.00
14,05/31/1970 12:00 AM,463837.26,119622.50,136137.55,91800.54,44338.31,-1.29,0.00,5450.00,1300.01,1300.01,0.00,0.00,0.00,44338.31,0.00
14,06/30/1970 12:00 AM,463837.26,225696.19,264412.14,207185.13,57232.40,-5.39,2936.47,5450.00,1300.01,1300.01,0.00,0.00,0.00,57232.40,0.00
14,07/31/1970 12:00 AM,463837.26,240035.83,286007.92,222777.54,63233.44,-3.05,3606.45,5450.00,1400.01,1400.01,0.00,0.00,0.00,63233.44,0.00
14,08/31/1970 12:00 AM,463837.26,185758.66,222383.15,168895.17,53490.37,-2.39,2144.07,5450.00,1300.01,1300.01,0.00,0.00,0.00,53490.37,0.00
14,09/30/1970 12:00 AM,463837.26,13261.13,15055.96,0.00,25131.17,-10075.21,0.00,5450.00,1100.01,1100.01,0.00,0.00,0.00,25131.17,0.00
14,10/31/1970 12:00 AM,468245.21,37630.88,43723.12,17700.12,26023.18,-0.18,0.00,5755.04,900.01,900.01,0.00,0.00,0.00,26023.18,0.00
14,11/30/1970 12:00 AM,468245.21,0.00,0.00,0.00,19486.13,-19486.13,0.00,5755.04,500.00,500.00,0.00,0.00,0.00,19486.13,0.00
14,12/31/1970 12:00 AM,468245.21,0.00,0.00,0.00,13206.09,-13206.09,0.00,5755.04,600.00,600.00,0.00,0.00,0.00,13206.09,0.00
14,01/31/1971 12:00 AM,468245.21,0.00,0.00,0.00,25378.18,-25378.18,0.00,5755.04,600.00,600.00,0.00,0.00,0.00,25378.18,0.00
14,02/28/1971 12:00 AM,468245.21,19015.38,21006.68,0.00,46844.32,-25837.65,0.00,5755.04,500.00,500.00,0.00,0.00,0.00,46844.32,0.00
14,03/31/1971 12:00 AM,468245.21,81985.58,95422.39,35761.45,59661.41,-0.47,1358.62,5755.04,1100.01,1100.01,0.00,0.00,0.00,59661.41,0.00
14,04/30/1971 12:00 AM,468245.21,28409.56,32841.22,0.00,39398.27,-6557.05,0.00,5755.04,1100.01,1100.01,0.00,0.00,0.00,39398.27,0.00
14,05/31/1971 12:00 AM,468245.21,88110.25,100336.83,51273.25,49064.34,-0.76,0.00,5755.04,1200.01,1200.01,0.00,0.00,0.00,49064.34,0.00
14,06/30/1971 12:00 AM,468245.21,223785.46,262238.79,184320.08,77921.54,-2.83,4570.47,5755.04,1300.01,1300.01,0.00,0.00,0.00,77921.54,0.00
14,07/31/1971 12:00 AM,468245.21,241917.49,288286.20,195613.35,92675.64,-2.80,3630.89,5755.04,1500.01,1500.01,0.00,0.00,0.00,92675.64,0.00
14,08/31/1971 12:00 AM,468245.21,187137.89,224058.43,147380.92,76679.53,-2.02,2156.53,5755.04,1400.01,1400.01,0.00,0.00,0.00,76679.53,0.00
14,09/30/1971 12:00 AM,468245.21,13386.64,15207.27,0.00,28287.20,-13079.93,0.00,5755.04,1100.01,1100.01,0.00,0.00,0.00,28287.20,0.00
14,10/31/1971 12:00 AM,472678.28,36328.65,42265.91,17320.92,24945.17,-0.19,0.00,6060.02,900.01,900.01,0.00,0.00,0.00,24945.17,0.00
14,11/30/1971 12:00 AM,472678.28,17575.43,22048.75,1282.81,20766.14,-0.21,0.00,6060.02,700.00,700.00,0.00,0.00,0.00,20766.14,0.00
14,12/31/1971 12:00 AM,472678.28,0.00,0.00,0.00,26226.18,-26226.18,0.00,6060.02,600.00,600.00,0.00,0.00,0.00,26226.18,0.00
14,01/31/1972 12:00 AM,472678.28,16271.60,17957.64,0.00,48152.33,-30194.69,0.00,6060.02,600.00,600.00,0.00,0.00,0.00,48152.33,0.00
14,02/29/1972 12:00 AM,472678.28,22427.51,24792.61,0.00,79815.55,-55022.95,0.00,6060.02,500.00,500.00,0.00,0.00,0.00,79815.55,0.00
14,03/31/1972 12:00 AM,472678.28,87952.75,102416.07,16014.71,86401.60,-0.24,3100.29,6060.02,1100.01,1100.01,0.00,0.00,0.00,86401.60,0.00
14,04/30/1972 12:00 AM,472678.28,50001.90,57834.19,0.00,59010.41,-1176.22,0.00,6060.02,1300.01,1300.01,0.00,0.00,0.00,59010.41,0.00
14,05/31/1972 12:00 AM,472678.28,122524.07,139610.43,56869.69,82741.57,-0.83,0.00,6060.02,1400.01,1400.01,0.00,0.00,0.00,82741.57,0.00
14,06/30/1972 12:00 AM,472678.28,224790.35,263481.38,159719.11,103764.72,-2.45,4966.21,6060.02,1400.01,1400.01,0.00,0.00,0.00,103764.72,0.00
14,07/31/1972 12:00 AM,472678.28,243381.29,290067.42,171479.99,118589.82,-2.38,3644.37,6060.02,1500.01,1500.01,0.00,0.00,0.00,118589.82,0.00
14,08/31/1972 12:00 AM,472678.28,188404.82,225599.97,130776.10,94825.66,-1.80,2166.06,6060.02,1400.01,1400.01,0.00,0.00,0.00,94825.66,0.00
14,09/30/1972 12:00 AM,472678.28,9984.33,11348.67,0.00,33216.23,-21867.56,0.00,6060.02,1200.01,1200.01,0.00,0.00,0.00,33216.23,0.00
14,10/31/1972 12:00 AM,485900.40,20183.39,23458.82,0.00,29967.21,-6508.39,0.00,6324.03,900.01,900.01,0.00,0.00,0.00,29967.21,0.00
14,11/30/1972 12:00 AM,485900.40,0.00,0.00,0.00,12998.09,-12998.09,0.00,6324.03,600.00,600.00,0.00,0.00,0.00,12998.09,0.00
14,12/31/1972 12:00 AM,485900.40,0.00,0.00,0.00,15810.11,-15810.11,0.00,6324.03,600.00,600.00,0.00,0.00,0.00,15810.11,0.00
14,01/31/1973 12:00 AM,485900.40,0.00,0.00,0.00,32178.22,-32178.22,5688.04,6324.03,600.00,600.00,0.00,0.00,0.00,32178.22,0.00
14,02/28/1973 12:00 AM,485900.40,0.00,0.00,0.00,29760.21,-29760.21,5462.19,6324.03,500.00,500.00,0.00,0.00,0.00,29760.21,0.00
14,03/31/1973 12:00 AM,485900.40,0.00,0.00,0.00,26773.19,-26773.19,2370.70,6324.03,600.00,600.00,0.00,0.00,0.00,26773.19,0.00
14,04/30/1973 12:00 AM,485900.40,7955.53,9216.48,0.00,76806.53,-67590.05,0.00,6324.03,1300.01,1300.01,0.00,0.00,0.00,76806.53,0.00
14,05/31/1973 12:00 AM,485900.40,128547.86,146722.44,62055.63,84667.59,-0.78,0.00,6324.03,1500.01,1500.01,0.00,0.00,0.00,84667.59,0.00
14,06/30/1973 12:00 AM,485900.40,223518.90,263088.88,145452.11,117638.81,-2.04,7183.97,6324.03,1500.01,1500.01,0.00,0.00,0.00,117638.81,0.00
14,07/31/1973 12:00 AM,485900.40,248587.43,297528.58,156685.78,140844.97,-2.18,3694.12,6324.03,1600.01,1600.01,0.00,0.00,0.00,140844.97,0.00
14,08/31/1973 12:00 AM,485900.40,195074.37,234554.28,125309.27,109246.76,-1.74,2451.17,6324.03,1500.01,1500.01,0.00,0.00,0.00,109246.76,0.00
14,09/30/1973 12:00 AM,485900.40,7472.04,8505.09,0.00,31805.22,-23300.13,0.00,6324.03,1200.01,1200.01,0.00,0.00,0.00,31805.22,0.00
14,10/31/1973 12:00 AM,499122.49,18514.18,21495.98,0.00,22106.15,-610.17,0.00,6588.02,1000.01,1000.01,0.00,0.00,0.00,22106.15,0.00
14,11/30/1973 12:00 AM,499122.49,23884.70,29958.36,9263.36,20695.14,-0.15,0.00,6588.02,700.00,700.00,0.00,0.00,0.00,20695.14,0.00
14,12/31/1973 12:00 AM,499122.49,0.00,0.00,0.00,50488.35,-50488.35,0.00,6588.02,600.00,600.00,0.00,0.00,0.00,50488.35,0.00
14,01/31/1974 12:00 AM,499122.49,0.00,0.00,0.00,60450.42,-60450.42,10812.40,6588.02,600.00,600.00,0.00,0.00,0.00,60450.42,0.00
14,02/28/1974 12:00 AM,499122.49,0.00,0.00,0.00,102748.71,-102748.71,6808.17,6588.02,500.00,500.00,0.00,0.00,0.00,102748.71,0.00
14,03/31/1974 12:00 AM,499122.49,23125.56,27164.07,0.00,104460.72,-77296.66,12904.09,6588.02,900.01,900.01,0.00,0.00,0.00,104460.72,0.00
14,04/30/1974 12:00 AM,499122.49,34227.08,39721.81,0.00,56773.39,-17051.58,0.00,6588.02,1300.01,1300.01,0.00,0.00,0.00,56773.39,0.00
14,05/31/1974 12:00 AM,499122.49,118730.83,135769.87,53089.07,82681.57,-0.77,0.00,6588.02,1500.01,1500.01,0.00,0.00,0.00,82681.57,0.00
14,06/30/1974 12:00 AM,499122.49,229839.07,271660.85,124762.36,146901.02,-2.53,3871.93,6588.02,1600.01,1600.01,0.00,0.00,0.00,146901.02,0.00
14,07/31/1974 12:00 AM,499122.49,251391.89,302103.13,131428.71,170676.18,-1.76,3676.53,6588.02,1600.01,1600.01,0.00,0.00,0.00,170676.18,0.00
14,08/31/1974 12:00 AM,499122.49,201942.93,243762.14,100325.49,143437.99,-1.35,2759.27,6588.02,1500.01,1500.01,0.00,0.00,0.00,143437.99,0.00
14,09/30/1974 12:00 AM,499122.49,4709.89,5369.63,0.00,36258.25,-30888.62,0.00,6588.02,1300.01,1300.01,0.00,0.00,0.00,36258.25,0.00
14,10/31/1974 12:00 AM,512349.54,67830.20,78665.07,52500.66,26165.18,-0.77,0.00,6853.09,800.01,800.01,0.00,0.00,0.00,26165.18,0.00
14,11/30/1974 12:00 AM,512349.54,2952.53,3702.88,0.00,27019.19,-23316.31,0.00,6853.09,700.00,700.00,0.00,0.00,0.00,27019.19,0.00
14,12/31/1974 12:00 AM,512349.54,0.00,0.00,0.00,46314.32,-46314.32,0.00,6853.09,600.00,600.00,0.00,0.00,0.00,46314.32,0.00
14,01/31/1975 12:00 AM,512349.54,20987.19,23197.64,0.00,114160.79,-90963.15,9278.49,6853.09,600.00,600.00,0.00,0.00,0.00,114160.79,0.00
14,02/28/1975 12:00 AM,512349.54,0.00,0.00,0.00,105642.73,-105642.73,13650.36,6853.09,600.00,600.00,0.00,0.00,0.00,105642.73,0.00
14,03/31/1975 12:00 AM,512349.54,48279.60,56967.79,0.00,107447.74,-50479.96,12749.58,6853.09,1100.01,1100.01,0.00,0.00,0.00,107447.74,0.00
14,04/30/1975 12:00 AM,512349.54,8839.23,10278.10,0.00,105231.73,-94953.63,4370.73,6853.09,1300.01,1300.01,0.00,0.00,0.00,105231.73,0.00
